FID,id,date_ech,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom
ind_bfc.176718,176718,2021-01-08T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,2,1,1,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176719,176719,2021-01-09T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176720,176720,2021-01-10T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176721,176721,2021-01-11T00:00:00Z,3,Dégradé,#f0e641,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,2,1,1,2,3,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176722,176722,2021-01-12T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176723,176723,2021-01-13T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176724,176724,2021-01-14T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176725,176725,2021-01-15T00:00:00Z,1,Bon,#50f0e6,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176726,176726,2021-01-16T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,2,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176727,176727,2021-01-17T00:00:00Z,1,Bon,#50f0e6,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176728,176728,2021-01-18T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176729,176729,2021-01-19T00:00:00Z,2,Moyen,#50ccaa,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,2,1,2,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176730,176730,2021-01-20T00:00:00Z,4,Mauvais,#ff5050,2021-01-21T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,2,1,2,2,4,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176731,176731,2021-01-21T00:00:00Z,2,Moyen,#50ccaa,2021-01-22T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176732,176732,2021-01-22T00:00:00Z,2,Moyen,#50ccaa,2021-01-23T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176733,176733,2021-01-23T00:00:00Z,2,Moyen,#50ccaa,2021-01-24T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176734,176734,2021-01-24T00:00:00Z,2,Moyen,#50ccaa,2021-01-25T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176735,176735,2021-01-25T00:00:00Z,2,Moyen,#50ccaa,2021-01-26T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
